BookID,Brightness,Colorfulness,Entropy,UniqueColors,Keypoints,Color1R,Color1G,Color1B,Color2R,Color2G,Color2B
0590419528,0.46688738,67.63018711228159,7.4710684,63182,0.030508373205741627,7,26,64,233,232,211
1857925947,0.48193714,33.76969472192644,7.659264,64237,0.03428205128205128,126,154,166,88,108,96
0486426440,0.666122,73.90338567304862,6.6102,108691,0.042536,251,251,248,193,170,102
193324142X,0.70184255,113.06245909541695,6.3097854,50880,0.013002583979328165,250,247,245,211,69,144
0374513589,0.6045981,104.91757310764262,6.111859,27241,0.010348178137651822,207,166,108,191,55,39
0545030382,0.69256073,64.9950195386697,7.296537,103473,0.01433939393939394,243,231,163,236,223,122
017438582X,0.43970224,58.404828944295815,2.961799,8320,0.0037297297297297295,177,209,108,2,2,1
1467715891,0.38262746,82.99012530203574,7.205224,76737,0.01845272206303725,22,13,8,181,183,89
1604991402,0.7579357,93.17408918055118,5.188349,62251,0.011785388127853881,253,252,250,233,73,43
0761316477,0.6542916,57.583858711858944,7.3073893,94482,0.024501333333333333,248,236,214,202,225,236
0843183047,0.5637844,93.469026564826,7.733631,103107,0.054923566878980895,88,184,216,203,232,244
0789211696,0.4748115,74.34442294051293,7.0360975,60951,0.016389333333333332,37,37,48,238,218,95
0521711010,0.3652615,48.75137307525861,7.721466,95817,0.039013404825737265,15,26,48,60,99,127
1491460156,0.5239409,98.85437381004897,7.352688,121676,0.025504,221,146,76,206,77,92
0836865707,0.49142963,39.76574018379878,7.4229927,66159,0.029188732394366198,105,96,73,176,158,114
1558584862,0.5872229,51.315727764171854,7.43908,98373,0.051879895561357706,123,170,211,172,212,238
1445136201,0.5932588,69.60380764317202,7.4615035,75160,0.020525510204081634,181,179,91,230,203,106
0486405702,0.701051,39.49358743379481,6.1467104,56792,0.030266666666666667,251,250,248,210,236,243
0448479478,0.5644796,55.495217732889174,7.5757484,61176,0.03146551724137931,200,150,128,114,88,76
0670036420,0.5638438,98.86379472814832,7.4293303,82743,0.032580246913580246,251,243,234,223,141,78
0237516950,0.45490485,88.9335876558925,6.3609867,41660,0.009641991156753673,223,147,65,47,30,23
