ID,Sales Rank,Date,Review Score,Review Count
1416957766,10436.0,"September 16, 2008",4.73,355
0756614554,1258641.0,"October 31, 2005",3.5,2
1452142947,66026.0,"May 5, 2015",4.69,40
1481409751,42892.0,"October 14, 2014",4.87,289
1481427253,80603.0,"October 7, 2014",4.4,17
0778713776,2080395.0,"October 1, 2003",5.0,2
1422201759,3162885.0,"September 1, 2007",0.0,0
0316286125,18066.0,"April 30, 1988",4.7,120
0761339663,412507.0,"August 1, 2010",4.83,6
0553512048,28006.0,"January 6, 2015",4.7,36
0874413796,575894.0,"November 1, 1984",4.6,10
0679810455,94931.0,"September 24, 1991",4.49,135
1550370383,149080.0,"May 1, 1989",4.07,76
0062304240,712.0,"July 8, 2014",4.82,487
0545208890,4617.0,"September 1, 2012",4.9,206
0898004284,5510224.0,"February 16, 2009",5.0,1
048623908X,128529.0,"May 1, 1980",4.4,278
068984879X,534722.0,"January 9, 2007",4.52,23
0553212389,3873555.0,"April 1, 1996",4.57,138
1609051068,86699.0,"July 1, 2011",4.16,42
0736852131,5559470.0,"January 1, 2005",5.0,1
0439567467,191190.0,"October 1, 2007",5.0,1
1881649679,2323019.0,"September 1, 1995",0.0,0
1555917518,498529.0,"August 1, 2012",4.16,7
0399250743,61849.0,"April 10, 2008",4.5,64
0689868863,3061783.0,"October 5, 2004",1.0,1
0531118339,1630618.0,"September 1, 2006",4.0,1
0062304305,16842.0,"October 6, 2015",4.66,86
0062366939,25185.0,"April 21, 2015",4.36,196
1423632613,543832.0,"August 1, 2013",4.4,5
184780716X,1902061.0,"October 19, 2015",0.0,0
1580178480,1372951.0,"June 1, 2006",5.0,7
0590461885,41885.0,"October 1, 1993",4.64,64
006443401X,183663.0,"October 24, 2000",4.65,17
0142415588,13150.0,"November 16, 2010",4.58,106
0689801297,33228.0,"September 1, 1995",4.78,296
142631518X,38030.0,"June 9, 2015",4.94,17
0448483017,245349.0,"April 21, 2015",4.91,11
0778714322,599229.0,"September 19, 2014",5.0,1
0062192264,29899.0,"June 25, 2013",4.68,107
014240456X,24489.0,"September 8, 2005",4.9,177
155407620X,160787.0,"February 12, 2010",4.45,9
